client_id	path	sentence	up_votes	down_votes	age	gender	accents	variant	locale	segment
00cb430b113e0ac0ec056de203bfcefbd45ea814b484600af8a20e5ddb9eaa9c471889074790bbd4133ecece80dcf0fbba448fe3e0d7cf15e6f500766622f940	common_voice_en_39584989.mp3	These locomotives are serviced at Washwood Heath.	2	0					en	
02cc5a0c68b0ac69c83a24da884f3e7069f63b0078cddba1b2e15ff875cea53ef3145e0126b9281115c19ac78417234667ad1834a33ac7e72f17b7dde35e55f0	common_voice_en_39576542.mp3	Here, she turned her inspirations towards writing.	3	0			England English,Esturine, from the region around the Thames Estuary in England		en	
02e97f2f112f01eee1db675e7eb23850294dc865524581a1f5ade3b2ed924da46c8921ad147fd196b5143ad36fea3549169ae5086dfe8d9690fe039c7afc7d34	common_voice_en_39582342.mp3	There is also a garnet mine in West Redding.	2	0					en	
02fa98c5a9a3e74e0014dec1e4825a9e29f7b918de2278b80d3c8b148a5809488948ecdd83fafdea1171f78cdd22e3d69a6858e63a3008c230caef5d6f928632	common_voice_en_38497561.mp3	They hastily drive to the plane, and flee from the dangers of the mob.	2	0			canadian - toronto english,Canadian English		en	
04347480ab0b18a8f9c3285107d106945cb2b14d430cdc78bf5b73b13e5ea3b4a3f4a9428a6cf9cfe31ba276ddbe3a103611f3c1df69d6f4937a9cf1da3678dc	common_voice_en_39263187.mp3	They found one such edge in Fairbairn's system.	2	1					en	
059e6e48ab8e9659233a4e32dbeadfbdd0c240e923977d06ea5de0f7c887318958a25a007d231d2b6b704f5fe5bf090e440ef5eb910a11e7523ce7b7ca726d08	common_voice_en_38570599.mp3	Flatow was given a co-star credit.	2	0	twenties	male	United States English		en	
08684d8060e5a83e24f813a6e06ad38de309b9aa11fdbffb142323b205f029c5faff53931f6b47d024980ed4ba1ab463aa9c6eb05b5aab981fed8e44ea2653ef	common_voice_en_39573817.mp3	The ocean surrounding the islands is covered with ice most of the year.	3	0			United States English		en	
09f36cc6063875e8d0a374f597479b4a1b6b5b40a3826f6f3f848b62507856ad2589b73de3bcc78f07c702adad5779c578e94489e03bb47a8c8ea2703af63a8b	common_voice_en_38498299.mp3	They have a yellow breast and upper belly.	2	0					en	
0b6c489384d032332115dd70c9033e5436849eba2feb5d77efe025b47ab571ec23e6fcea11e2893f1924c4b6ce6ebb927f4e5264c41d6039a696045f86cb0f21	common_voice_en_39572424.mp3	A timetable for the move was not specified.	3	0	fifties	male	Canadian English		en	
0c4fb0ca904a8bae8229f87f3a4b51d8bf28db90c93e6ac7b7833ba9e9ebccad465beeacc41adf4847a5d556c4b3f4e1a1383cf698d37fa5ab5b212dc2ff6c41	common_voice_en_38689017.mp3	Surrounding the lake are modern housing estates, such as Lakeview Estate.	2	0					en	
